ID;Name;Exercise type;BodyPart;Equipment;muscle_group;secondary_muscles;difficulty;remarks;is_duplicate;exID;Gender;tags;tags_temp;score;type;goal;motion_pattern;additional;popularity_men;popularity_women;summary;philosophy
188513;Standing Toe Up Achilles Stretch;Stretching;Calves;Body weight;Gastrocnemius;Soleus;Beginner;;;29427a12-f187-461f-ab90-abbfcc3346fd;0;"[""tier3"",""mobility"",""rehab""]";;1;stretch;mobility;;beginner_friendly, cool_down;10;15;Achilles stretch;stretching
274713;Lever Adduction Thrust;Strength;Hips;Leverage machine;Adductor magnus;Adductor longus, Gracilis;Intermediate;;;e7bc4fd7-9483-4b74-b112-f6ee57261b90;2;"[""tier3"",""compound"",""strength"",""hypertrophy""]";;70;compound;strength, hypertrophy;hinge;beginner_friendly;60;60;adduction thrust;lifting
447013;Roll Ball Adductors;Stretching;Hips;Rollball;Adductor magnus;Adductor longus, Gracilis;Beginner;;;feb07558-7ad7-43e3-8173-e60ad6230838;0;"[""tier3"",""isolation"",""mobility"",""rehab""]";;30;stretch;mobility, recovery;;cool_down;25;30;adductor roll;reha
190213;Sitting Wide Leg Adductor Stretch;Stretching;Hips;Body weight;Adductor magnus;Adductor longus, Hamstrings;Beginner;;;3f4e21c2-ef2e-4a7c-9982-9409672169ce;0;"[""tier3"",""mobility"",""rehab""]";;30;stretch;mobility;;at_home, cool_down;20;40;adductor stretch;stretching
190713;Assisted Lying Adductors Stretch;Stretching;Hips;Assisted;Adductor muscles;Pectineus, Gracilis;Beginner;;;38a04707-9798-4c81-ac3b-d1e3f5120183;0;"[""tier3"",""mobility"",""rehab""]";;30;stretch;mobility;;assisted, cool_down;30;40;adductor stretch;stretching, reha
171213;Assisted Side Lying Adductor Stretch;Stretching;Hips;Assisted;Adductor longus;Adductor magnus, Adductor brevis;Beginner;;;98d13d61-01e7-4d65-9984-692e3f5ff860;0;"[""tier2"",""isolation"",""mobility"",""rehab""]";;30;stretch;mobility;;assisted, cool_down;30;40;adductor stretch;stretching, reha
190113;Kneeling Face Down Adductor Stretch;Stretching;Hips;Body weight;Adductor muscles;Iliopsoas, Gluteus medius;Beginner;;;3cafbaa2-3142-4bfe-bf03-c386b65a20e8;0;"[""tier3"",""mobility"",""rehab""]";;25;stretch;mobility;;cool_down;30;40;adductor stretch;stretching
189813;Kneeling Leg Out Adductor Stretch;Stretching;Hips;Body weight;Adductor muscles;Adductor longus, Gracilis;Beginner;;;296f7adb-2108-4eae-88cc-6968a42b7858;0;"[""tier3"",""mobility"",""rehab""]";;25;stretch;mobility;;cool_down;30;40;adductor stretch;stretching
93613;Adductor stretch;Stretching;Hips;Body weight;Adductor group;Gracilis, Pectineus;Beginner;;;5cd09d7f-16e3-49d1-a169-92541225599c;0;"[""tier3"",""isolation"",""mobility"",""rehab"",""low_impact""]";;1;stretch;mobility;;cool_down;30;40;adductor stretch;stretching
451213;Adductor Stretch;Stretching;Hips;Body weight;Adductor longus;Adductor magnus, Gracilis;Beginner;;;bbcb21c5-e8e7-4b0a-b1bd-08bcac4cc0cb;1;"[""tier3"",""isolation"",""mobility"",""rehab"",""low_impact""]";;1;stretch;mobility;;cool_down;30;40;adductor stretch;stretching
189913;Side Lunge Adductor Stretch;Stretching;Hips;Body weight;Hip Adductors;Gluteus medius, Hamstrings;Beginner;;;c5bd3a79-f62e-48a7-9a63-130c4b0c7054;0;"[""tier3"",""mobility"",""rehab""]";;65;stretch;mobility;;cool_down;60;65;adductor stretch;stretching
189713;Standing Leg Up Adductor Stretch;Stretching;Hips;Body weight;Adductor longus;Adductor brevis, Gracilis;Beginner;;;67aeea98-2f7f-4b10-9d6b-cc8b3c9d5542;0;"[""tier3"",""mobility"",""rehab""]";;1;stretch;mobility;;cool_down, beginner_friendly;15;20;adductor stretch;stretching
189613;Standing Raised Leg Hip Adductor Stretch;Stretching;Hips;Body weight;Adductor magnus;Adductor longus, Gracilis;Beginner;;;c4c4b09c-ff7a-49c6-9c4a-e23295f9a516;0;"[""tier3"",""mobility"",""rehab""]";;1;stretch;mobility;;cool_down, beginner_friendly;15;20;adductor stretch;stretching
189413;Standing Wide Knees Adductor Stretch;Stretching;Hips;Body weight;Adductor group;;Beginner;;;1e8de078-544c-4b4e-9820-bdb3f30e4b67;0;"[""tier3"",""mobility"",""rehab""]";;1;stretch;mobility;;beginner_friendly, cool_down;10;15;adductor stretch;stretching
190413;Standing Wide Leg Adductor Stretch;Stretching;Hips;Body weight;Adductor longus;Adductor magnus, Gracilis;Beginner;;;f696293c-b160-4ff8-81e4-6f922e1b27ba;0;"[""tier3"",""mobility"",""rehab""]";;1;stretch;mobility;;beginner_friendly, cool_down;10;15;adductor stretch;stretching
47313;Hanging Pike;Strength;Waist;Body weight;Rectus abdominis;Iliopsoas, Deltoid anterior;Advanced;Hang from a bar and, while keeping legs straight, contract the core to lift hips into a pike, emphasizing controlled movement and core stability.;;45d2b47a-7e7b-40ba-aab5-7339a66a35f0;0;"[""tier3"",""isolation"",""strength"",""core""]";;50;compound;strength, hypertrophy;crunch;bodyweight;60;55;advanced core;calisthenics
265213;Hanging Pike;Strength;Waist;Body weight;Rectus abdominis;Iliopsoas, Obliquus externus abdominis;Advanced;;;4b0bd9d4-b7f3-4995-9525-ffc352d265bd;2;"[""tier3"",""isolation"",""strength"",""core""]";;50;compound;strength, hypertrophy;crunch;bodyweight;60;55;advanced core;calisthenics
498213;Negative Dragon Flag;Strength;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis, Transverse abdominis;Advanced;;;1cf89603-4293-4cf8-b818-d8acd7046517;0;"[""tier3"",""compound"",""strength"",""core"",""plateau_breaker""]";;60;compound;strength, stability;plank;plateau_breaker;70;40;advanced core;calisthenics
526413;Negative Dragon Flag;Strength;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis, Erector spinae, Iliopsoas;Advanced;;;18b8f9bf-2797-47cc-85ec-09a3edc6e76b;2;"[""tier3"",""compound"",""strength"",""core"",""plateau_breaker""]";;60;compound;strength, stability;plank;plateau_breaker;70;40;advanced core;calisthenics
289313;Scissors (advanced);Strength;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis, Transverse abdominis;Advanced;;;324308d1-2d75-4103-a046-2a2e034e6224;2;"[""tier3"",""compound"",""strength"",""core""]";;60;isolation;core_strength;;plateau_breaker;60;70;advanced scissors;calisthenics
358613;Scissors (advanced);Strength;Hips, Waist;Body weight;Rectus abdominis;Iliopsoas, Obliquus externus abdominis;Advanced;;;43a47ff9-c6a2-4936-895c-fffde2325271;1;"[""tier3"",""compound"",""strength"",""core""]";;60;isolation;core_strength;;plateau_breaker;60;70;advanced scissors;calisthenics
630213;Two Legged Inverted Staff Pose Dwi Pada Viparita Dandasana;Stretching;Stretching;Body weight;Erector spinae;Pectoralis major, Rectus abdominis;Advanced;;;576cbd7a-66f1-4ab7-a77a-4c080629333d;2;"[""tier3"",""compound"",""strength"",""mobility"",""bodyweight""]";;1;isometric;stability, mobility;;yoga;10;20;advanced yoga;yoga
596913;Dot Drill;Aerobic;Plyometrics;Body weight;Quadriceps;Gastrocnemius, Hamstrings;Intermediate;;;f51c76fd-e493-40cf-af5f-007047e68365;1;"[""tier3"",""compound"",""endurance"",""agility""]";;60;dynamic;agility, coordination;;high_impact, at_home;55;50;agility drill;plyometrics
597413;Plyometric Agility Drill;Aerobic;Plyometrics;Body weight;Quadriceps;Hamstrings, Gluteus maximus, Gastrocnemius;Intermediate;;;3b84d538-e3b3-4f42-bd5e-97c0983d14ec;1;"[""tier3"",""compound"",""power"",""agility""]";;60;ballistic;agility, coordination;;high_impact;70;65;agility drill;plyometrics
597913;X Drill;Aerobic;Plyometrics;Body weight;Quadriceps;Hamstrings, Gluteus maximus, Gastrocnemius;Intermediate;;;e549f132-89f7-4655-8832-242c7c133b53;1;"[""tier3"",""compound"",""endurance"",""agility""]";;60;dynamic;agility, coordination;;high_impact;70;65;agility drill;plyometrics
597113;L Drill;Aerobic;Plyometrics;Body weight;Quadriceps;Hamstrings, Gluteus maximus, Gastrocnemius;Intermediate;;;9c8b2462-e476-45f5-85dc-4ef95881a124;1;"[""tier3"",""compound"",""endurance"",""agility""]";;50;dynamic;agility, coordination;;warm_up;60;55;agility drill;plyometrics
355113;Side Shuttle;Aerobic;Hips, Thighs;Body weight;Gluteus medius;Quadriceps, Hamstrings, Gluteus maximus;Beginner;;;0fa576af-03c5-4906-a57f-19c65c26e439;0;"[""tier2"",""compound"",""endurance"",""agility"",""bodyweight""]";;50;dynamic;agility, coordination;;high_impact;70;60;agility drill;plyometrics
158813;Side to Side Box Shuffle;Aerobic;Plyometrics;Body weight;Quadriceps;Hamstrings, Gastrocnemius, Gluteus maximus;Beginner;;;a0da50cd-b01e-46b1-bbd0-f608192d442b;0;"[""tier2"",""compound"",""endurance"",""agility""]";;50;dynamic;agility, coordination;;high_impact;70;60;agility drill;plyometrics
515313;Side to Side Hop;Aerobic;Plyometrics;Body weight;Quadriceps;Gluteus maximus, Gastrocnemius;Intermediate;;;31b9d1fd-ee24-4884-b3c1-06c4716f4056;0;"[""tier2"",""compound"",""power"",""endurance"",""low_impact""]";;50;dynamic;agility, coordination;;high_impact;70;60;agility hop;plyometrics
598913;Figure Run;Aerobic;Plyometrics;Body weight;Quadriceps;Hamstrings, Gluteus maximus, Gastrocnemius;Beginner;;;72b33f8c-18c6-447c-b11d-48bd6a84da76;1;"[""tier3"",""compound"",""agility"",""endurance"",""low_impact""]";;60;dynamic;agility, coordination;;warm_up;50;55;agility run;plyometrics
379213;Resistance Band Upper Body Lying Air Bike;Strength;Waist;Resistance Band;Rectus abdominis;Obliquus externus abdominis, Deltoid anterior;Intermediate;;;8e39ab21-d15e-47fc-90da-b4bca6096406;0;"[""tier3"",""compound"",""endurance"",""core""]";;60;dynamic;core, endurance;;low_impact, at_home;55;65;Air bike;calisthenics
377813;Band Upper Body Lying Air Bike;Strength;Hips, Waist;Band;Rectus abdominis;Obliquus externus abdominis, Iliopsoas;Intermediate;;;9e34a266-ed2b-4d55-bdf2-4defe0101a43;0;"[""tier3"",""compound"",""endurance"",""core""]";;45;isolation;core_strength, coordination;;beginner_friendly, at_home;40;50;Air bike;calisthenics
242013;Resistance Band Air Bike;Strength;Waist;Resistance Band;Rectus abdominis;Obliquus externus abdominis, Erector spinae;Intermediate;;;f3044739-9cc9-40b9-ba01-9e1ad50e5d6f;0;"[""tier2"",""compound"",""endurance"",""core"",""low_impact""]";;40;cardio;endurance;;at_home;40;50;air bike;cardio
