id;Name;exercise_type;bodyPart;Equipment;muscle_group;secondary_muscles;difficulty;remarks;is_duplicate;exID;Gender;tags;tags_temp;score;type;goal;motion_pattern;additional;popularity_men;popularity_women;summary;philosophy;Video
386;Abdominal Stretch Waist;Stretching;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis;Beginner;Focus on a gentle stretch, avoiding any bouncing movements.;;;2;;;40;stretch;mobility;;beginner_friendly, cool_down;30;40;ab stretch;stretching;https://www.youtube.com/watch?v=7RGY4bwXpCo&pp=0gcJCccJAYcqIYzv
734;Above Head Chest Stretch Chest;Stretching;Chest;Body weight;Pectoralis major;Deltoid anterior;Beginner;Ensure a gentle stretch to avoid shoulder strain.;;;0;;;30;stretch;mobility;;cool_down;25;30;chest stretch;stretching;https://www.youtube.com/watch?v=AEVxSfrO774
954;Adductor Stretch Hips;Stretching;Hips;Body weight;Adductor muscles;0;Beginner;Keep the back straight and avoid bouncing during the stretch.;;;2;;;1;stretch;mobility;;cool_down, beginner_friendly;30;50;Adductor stretch;stretching;https://www.youtube.com/watch?v=esq8MKEtv1c
1405;Air Bike M Waist;Aerobic;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis, Hip flexors;Intermediate;Maintain a steady pace and ensure full range of motion for effective engagement.;;;0;;;65;dynamic;endurance, stability;crunch;at_home, beginner_friendly;70;80;air bike;calisthenics, cardio;https://www.youtube.com/watch?v=trogsJCCCyY
590;Air Bike VERSION 2 Waist;Aerobic;Waist;Body weight;Rectus abdominis;Obliquus externus abdominis;Beginner;Maintain a steady pace and engage core throughout.;;;2;;;70;cardio;endurance;;beginner_friendly;65;75;air bike;cardio;https://www.youtube.com/watch?v=XDjLp9EoeRw
784;All Fours Squad Stretch Thighs;Stretching;Thighs;Body weight;Quadriceps;Hip flexors;Beginner;Hold the stretch without bouncing to prevent injury.;;;0;;;30;stretch;mobility;;cool_down;35;55;Squad stretch;stretching;https://www.youtube.com/watch?v=vmCNO96UBWI
307;Alternate Heel Touch Side Kick Squat Thighs;Strength;Thighs;Body weight;Quadriceps;Gluteus maximus, Hamstrings;Intermediate;Focus on balance and controlled movement.;;;0;;;40;compound;strength, agility;squat;dynamic;30;35;heel touch squat;calisthenics;https://www.youtube.com/watch?v=AwZuyjwdLLo&pp=0gcJCccJAYcqIYzv
204;Alternate Heel Touchers waist;Strength;Waist;Body weight;Obliquus externus abdominis;Rectus abdominis;Beginner;Focus on engaging the obliques and avoid straining the neck.;;;2;;;45;isolation;mobility, stability;crunch;beginner_friendly, at_home;50;60;heel touch;calisthenics;https://www.youtube.com/watch?v=6CyzKVYfbbg
1404;Alternate Heel Touchers Waist;Strength;Waist;Body weight;Obliquus externus abdominis;Rectus abdominis;Beginner;Focus on engaging the obliques and avoid straining the neck.;;;0;;;45;isolation;mobility, stability;crunch;beginner_friendly, at_home;50;60;heel touch;calisthenics;https://www.youtube.com/watch?v=jiGGpE08syQ
763;Alternate Leg Raise Hips;Strength;Hips;Body weight;Iliopsoas;Rectus abdominis;Beginner;Keep the core engaged to stabilize the movement.;;;2;;;50;isolation;strength, mobility;;beginner_friendly;55;65;Leg raise;lifting, mobility;https://www.youtube.com/watch?v=ACwVizNXKwQ
116;Alternate Leg Raise with Head up Waist;Strength;Waist;Body weight;Rectus abdominis;Obliques;Intermediate;Keep the core engaged and avoid straining the neck.;;;0;;;70;isolation;core;crunch;beginner_friendly;55;70;Leg raise;calisthenics;https://www.youtube.com/watch?v=v4ayVsLIsYU
289;Alternate Lying Floor Leg Raise Waist;Strength;Waist;Body weight;Rectus abdominis;Hip flexors;Beginner;Maintain a controlled movement and avoid jerking.;;;1;;;60;isolation;strength, stability;crunch;bodyweight, at_home;55;65;leg raise;calisthenics;https://www.youtube.com/watch?v=C5rvE4qSFYM
1403;Alternate Lying Floor Leg Raise Waist;Strength;Waist;Body weight;Rectus abdominis;Hip flexors;Beginner;Maintain a controlled movement and avoid jerking.;;;0;;;60;isolation;strength, stability;crunch;bodyweight, at_home;55;65;leg raise;calisthenics;https://www.youtube.com/watch?v=eRCVSxfrlu4
203;Alternate Punching Cardio;Aerobic;Upper arms, Shoulders;Body weight;Deltoid;Triceps brachii, Biceps brachii;Beginner;Keep a steady pace and engage the core for balance.;;;2;;;30;cardio;endurance, coordination;;low_impact, at_home;40;45;cardio punches;cardio;https://www.youtube.com/watch?v=b1HV8RB_nSk
11;Alternating Hamstring Curl with Punche Plyometrics;Aerobic;Thighs, Shoulders;Body weight;Hamstrings;Deltoid anterior;Intermediate;Engage the core to stabilize the body during the punches.;;;0;;;30;ballistic;power, agility;;high_impact;20;15;explosive curls;plyometrics, explosives;https://www.youtube.com/watch?v=kZE3vsrXTqw
12;Alternating Step Out Plyometrics;Aerobic;Thighs, Hips;Body weight;Quadriceps;Gluteus maximus;Beginner;Keep the core engaged to maintain balance during the step out.;;;0;;;40;ballistic;power, agility;;high_impact;50;55;step out;plyometrics;https://www.youtube.com/watch?v=di9G65aflAY&pp=0gcJCccJAYcqIYzv
147;Ankle Circles Calves;Stretching;Calves;Body weight;Gastrocnemius;Soleus;Beginner;Perform the circles with a controlled motion.;;;2;;;40;stretch;mobility;;cool_down;40;50;Ankle circles;stretching;https://www.youtube.com/watch?v=qBI0jRMnKbQ
347;Archer Push up Chest;Strength;Chest;Body weight;Pectoralis major;Deltoid anterior, Triceps brachii;Advanced;Focus on controlled movement and balance.;;;0;;;65;compound;strength, stability;horizontal_press;plateau_breaker;60;55;archer push-up;calisthenics;https://www.youtube.com/watch?v=YqP68uBqJv4&pp=0gcJCccJAYcqIYzv
157;Arm Circles Shoulders;Strength;Shoulders;Body weight;Deltoid;Trapezius;Beginner;Perform with small, controlled circles to avoid shoulder strain.;;;0;;;30;dynamic;mobility, warm_up;;beginner_friendly, at_home;40;50;arm circles;prehab;https://www.youtube.com/watch?v=nOZNXM0CboM&pp=0gcJCccJAYcqIYzv
1402;Assisted Chest Dip kneeling Chest;Strength;Chest;Assisted;Pectoralis major;Triceps brachii, Deltoid anterior;Intermediate;Keep elbows close to the body and avoid excessive forward lean to target the chest effectively.;;;0;;;70;compound;strength, hypertrophy;vertical_press;assisted, beginner_friendly;70;60;assisted dip;lifting, calisthenics;https://www.youtube.com/watch?v=KiHxt4lm3Lo&pp=0gcJCccJAYcqIYzv
524;Assisted Close grip Underhand Chin up Back;Strength;Back;Assisted;Latissimus dorsi;Biceps brachii, Rhomboids;Beginner;Use assistance to focus on form and back engagement.;;;2;;;70;compound;strength, hypertrophy;vertical_pull;assisted, beginner_friendly;80;75;assisted chin-up;lifting;https://www.youtube.com/watch?v=GTZk78yFEls
1401;Assisted Parallel Close Grip Pull up Back;Strength;Back;Assisted;Latissimus dorsi;Biceps brachii, Rhomboids;Intermediate;Ensure to engage the core and maintain a controlled movement throughout the exercise.;;;0;;;70;compound;strength, hypertrophy;vertical_pull;assisted, beginner_friendly;75;65;assisted pull-up;lifting, calisthenics;https://www.youtube.com/watch?v=7V2AbGENxbc
1079;Assisted Pull up Back;Strength;Back;Assisted;Latissimus dorsi;Biceps brachii, Rhomboids;Beginner;Use assistance to perform pull-ups with proper form.;;;0;;;80;compound;strength, hypertrophy;vertical_pull;assisted;75;70;assisted pull-up;calisthenics;https://www.youtube.com/watch?v=0tJNgVSdiYQ&pp=0gcJCccJAYcqIYzv
744;Assisted Sit Up Waist;Strength;Waist;Assisted;Rectus abdominis;Obliquus externus abdominis;Beginner;Use assistance to maintain proper form.;;;0;;;50;isolation;hypertrophy;crunch;assisted, beginner_friendly;40;45;sit up;lifting;https://www.youtube.com/watch?v=e5aVEh9xRgo
519;Assisted Triceps Dip kneeling Upper Arms;Strength;Upper arms;Assisted;Triceps brachii;Pectoralis major, Deltoid anterior;Beginner;Use assistance to focus on form and triceps engagement.;;;2;;;70;compound;strength, hypertrophy;vertical_press;assisted, beginner_friendly;80;75;assisted dip;lifting;https://www.youtube.com/watch?v=GJ_YL8TwWvI
1398;Assisted Triceps Dip kneeling Upper Arms;Strength;Upper arms;Assisted;Triceps brachii;Pectoralis major, Deltoid anterior;Beginner;Use assistance to focus on form and triceps engagement.;;;0;;;70;compound;strength, hypertrophy;vertical_press;assisted, beginner_friendly;80;75;assisted dip;lifting;https://www.youtube.com/watch?v=YZCwqXzPNEo&pp=0gcJCccJAYcqIYzv
904;Assisted Weighted Push up Chest;Strength;Chest;Assisted, Weighted;Pectoralis major;Triceps brachii, Deltoid anterior;Intermediate;Use assistance to maintain proper form and gradually increase weight as strength improves.;;;0;;;70;compound;strength, hypertrophy;horizontal_press;assisted;65;60;weighted push-up;lifting, calisthenics;https://www.youtube.com/watch?v=Tqt19Pw1Sdk
829;Back Pec Stretch Back;Stretching;Back;Body weight;Latissimus dorsi;Rhomboids, Trapezius;Beginner;Perform the stretch gently to avoid overstretching the back muscles.;;;0;;;40;stretch;mobility;;cool_down, at_home;35;40;pec stretch;stretching;https://www.youtube.com/watch?v=ZVK_4fA-Apk
130;Back Slaps Wrap Arround Stretch Back;Stretching;Back;Body weight;Rhomboids;Trapezius;Beginner;Focus on a gentle stretch and avoid overextending.;;;0;;;40;stretch;mobility;;cool_down;40;50;Back stretch;stretching;https://www.youtube.com/watch?v=7-VQsj1Roxw
123;Backward Abdominal Stretch Waist;Stretching;Waist;Body weight;Rectus abdominis;Obliques;Beginner;Focus on a gentle stretch and avoid overextending.;;;0;;;40;stretch;mobility;;cool_down;40;50;Ab stretch;stretching;https://www.youtube.com/watch?v=w44osZQrYIE
1397;Ball Sit up on stability ball waist;Strength;Waist;Stability ball;Rectus abdominis;Obliquus externus abdominis;Intermediate;Engage the core and maintain balance on the stability ball.;;;0;;;50;compound;core, balance;crunch;beginner_friendly, stability;45;55;ball sit up;balance;https://www.youtube.com/watch?v=Txx-wCYssBQ
90;Band 45 degrees Biceps Curl Upper Arms;Strength;Upper arms;Band;Biceps brachii;Brachialis;Intermediate;Maintain a controlled motion to maximize bicep engagement.;;;1;;;50;isolation;hypertrophy;;at_home, on_travel;45;50;45Â° curl;lifting;https://www.youtube.com/watch?v=t2QUf6IH7W0
948;Band alternating biceps curl Upper Arms;Strength;Upper arms;Band;Biceps brachii;Brachialis;Intermediate;Maintain a controlled motion and avoid swinging the body.;;;0;;;60;isolation;hypertrophy;;at_home;55;50;biceps curl;lifting;https://www.youtube.com/watch?v=L7iNAqUk6-g
174;Band Assisted Pull Up VERSION 3 Back;Strength;Back;Band;Latissimus dorsi;Biceps brachii, Rhomboids;Intermediate;Use the band to assist in maintaining form and control.;;;2;;;80;compound;strength, hypertrophy;vertical_pull;assisted;75;65;assisted pull-up;calisthenics;https://www.youtube.com/watch?v=zwi9KKbVnxs
424;Band Assisted Pull Up VERSION 3 Back;Strength;Back;Band;Latissimus dorsi;Biceps brachii, Rhomboids;Intermediate;Use the band to assist in maintaining form and control.;;;0;;;80;compound;strength, hypertrophy;vertical_pull;assisted;75;65;assisted pull-up;calisthenics;https://www.youtube.com/watch?v=WfCmWmgQsJY
788;Band Behind Neck Shoulder Press Shoulders;Strength;Shoulders;Band;Deltoid anterior;Triceps brachii;Intermediate;Press the band overhead while keeping the core engaged.;;;0;;;50;compound;strength, hypertrophy;vertical_press;beginner_friendly;60;55;Shoulder press;lifting;https://www.youtube.com/watch?v=zYg_a8__PDA
105;Band Bent over Hip Extension Hips;Strength;Hips;Band;Gluteus maximus;Hamstrings;Intermediate;Keep the core engaged and avoid arching the lower back.;;;1;;;40;isolation;strength, mobility;;beginner_friendly, at_home;40;55;Hip extension;lifting;https://www.youtube.com/watch?v=lbbriwuFy_Q
944;Band bent over hip extension Hips;Strength;Hips;Band;Gluteus maximus;Hamstrings;Intermediate;Keep the core engaged and avoid arching the lower back.;;;2;;;40;isolation;strength, mobility;;beginner_friendly, at_home;40;55;Hip extension;lifting;https://www.youtube.com/watch?v=wrQixJxbh3o
137;Band bent over rear lateral raise Shoulders;Strength;Shoulders;Band;Deltoid posterior;Rhomboids;Intermediate;Focus on squeezing the shoulder blades together.;;;1;;;70;isolation;hypertrophy;horizontal_pull;beginner_friendly, at_home;55;70;Rear raise;lifting;https://www.youtube.com/watch?v=EqIsYqgTQIk
962;Band bent over rear lateral raise Shoulders;Strength;Shoulders;Band;Deltoid posterior;Rhomboids;Intermediate;Focus on squeezing the shoulder blades together.;;;2;;;70;isolation;hypertrophy;horizontal_pull;beginner_friendly, at_home;55;70;Rear raise;lifting;https://www.youtube.com/watch?v=7EcZ67wc0ro
163;Band bent over row Back;Strength;Back;Band;Latissimus dorsi;Biceps brachii, Rhomboids;Intermediate;Maintain a flat back and engage the core.;;;1;;;60;compound;strength, hypertrophy;horizontal_pull;at_home;50;60;band row;lifting;https://www.youtube.com/watch?v=M_JCJpALAzk
963;Band Bent over Row Back;Strength;Back;Band;Latissimus dorsi;Biceps brachii, Rhomboids;Intermediate;Maintain a flat back and engage the core.;;;2;;;60;compound;strength, hypertrophy;horizontal_pull;at_home;50;60;band row;lifting;https://www.youtube.com/watch?v=s_7JJ7x68wU&pp=0gcJCccJAYcqIYzv
947;Band bicycle crunch Waist;Strength;Waist;Band;Rectus abdominis;Obliques;Intermediate;Focus on a controlled motion and engage the core fully.;;;0;;;60;isolation;strength;crunch;at_home;55;60;bicycle crunch;lifting;https://www.youtube.com/watch?v=4wymR1XsO88
93;Band Close Grip Biceps Curl Upper Arms;Strength;Upper arms;Band;Biceps brachii;Brachialis;Intermediate;Keep elbows close to the body to maximize bicep engagement.;;;0;;;50;isolation;hypertrophy;;at_home, on_travel;45;50;close grip curl;lifting;https://www.youtube.com/watch?v=Jwqngpj3SYU
85;Band Cross Body One Arm Chest Press Chest;Strength;Chest;Band;Pectoralis major;Deltoid anterior, Triceps brachii;Intermediate;Focus on a controlled press to engage the chest effectively.;;;1;;;55;compound;strength, hypertrophy;horizontal_press;at_home, on_travel;50;55;one arm press;lifting;https://www.youtube.com/watch?v=P8_9wFc8vNM
82;Band Cross Chest Biceps Curl Upper Arms;Strength;Upper arms;Band;Biceps brachii;Brachialis;Intermediate;Maintain a controlled motion to maximize bicep engagement.;;;1;;;50;isolation;hypertrophy;;at_home, on_travel;45;50;cross curl;lifting;https://www.youtube.com/watch?v=owPcGCvndq4
95;Band Cross Chest Biceps Curl Upper Arms;Strength;Upper arms;Band;Biceps brachii;Brachialis;Intermediate;Maintain a controlled motion to maximize bicep engagement.;;;1;;;50;isolation;hypertrophy;;at_home, on_travel;45;50;cross curl;lifting;https://www.youtube.com/watch?v=Sx-aw61qIRc
178;Band Decline Sit up Hips;Strength;Hips, Waist;Band;Rectus abdominis;Hip flexors;Intermediate;Ensure to control the movement and engage the core.;;;2;;;60;isolation;strength, hypertrophy;crunch;at_home;50;60;decline sit-up;lifting;https://www.youtube.com/watch?v=EkjlnX6G6Gc
789;Band Decline Sit up Hips;Strength;Hips, Waist;Band;Rectus abdominis;Hip flexors;Intermediate;Ensure to control the movement and engage the core.;;;0;;;60;isolation;strength, hypertrophy;crunch;at_home;50;60;decline sit-up;lifting;https://www.youtube.com/watch?v=_TOK_u80J5I
961;Band face pull Shoulders;Strength;Shoulders;Band;Deltoid posterior;Rhomboids, Trapezius;Intermediate;Focus on squeezing the shoulder blades together.;;;0;;;70;isolation;stability, hypertrophy;horizontal_pull;at_home;65;60;Face pull;lifting;https://www.youtube.com/watch?v=esLl7qFjM6Q
133;Band front lateral raise Shoulders;Strength;Shoulders;Band;Deltoid anterior;0;Intermediate;Maintain a slight bend in the elbows and control the band tension.;;;2;;;70;isolation;hypertrophy;vertical_press;beginner_friendly, at_home;55;70;Lateral raise;lifting;https://www.youtube.com/watch?v=HSBB3dIFSwY
946;Band front lateral raise Shoulders;Strength;Shoulders;Band;Deltoid anterior;0;Intermediate;Maintain a slight bend in the elbows and control the band tension.;;;0;;;70;isolation;hypertrophy;vertical_press;beginner_friendly, at_home;55;70;Lateral raise;lifting;https://www.youtube.com/watch?v=uxb3uUA1wGM
215;Band high fly Chest;Strength;Chest;Band;Pectoralis major;Deltoid anterior;Intermediate;Maintain a slight bend in the elbows and control the movement.;;;1;;;50;isolation;hypertrophy;horizontal_press;at_home;55;60;band fly;calisthenics;https://www.youtube.com/watch?v=ZHC9muqkYhE&pp=0gcJCccJAYcqIYzv
960;Band high fly Chest;Strength;Chest;Band;Pectoralis major;Deltoid anterior;Intermediate;Maintain a slight bend in the elbows and control the movement.;;;2;;;50;isolation;hypertrophy;horizontal_press;at_home;55;60;band fly;calisthenics;https://www.youtube.com/watch?v=neF2Pr0JhIo
110;Band hip abduction Hips;Strength;Hips;Band;Gluteus medius;0;Beginner;Keep the movement controlled and avoid leaning.;;;1;;;70;isolation;strength, mobility;;beginner_friendly, at_home;55;75;Hip abduction;lifting;https://www.youtube.com/watch?v=3J2Tm0dhxcg
959;Band hip abduction Hips;Strength;Hips;Band;Gluteus medius;0;Beginner;Keep the movement controlled and avoid leaning.;;;2;;;70;isolation;strength, mobility;;beginner_friendly, at_home;55;75;Hip abduction;lifting;https://www.youtube.com/watch?v=bv93rj5CIGQ 
111;Band hip adduction Hips;Strength;Hips;Band;Adductor muscles;0;Beginner;Focus on squeezing the inner thighs during the movement.;;;1;;;70;isolation;strength, mobility;;beginner_friendly, at_home;50;70;Hip adduction;lifting;https://www.youtube.com/watch?v=DEGAv1r1SgU&pp=0gcJCccJAYcqIYzv 
958;Band hip adduction Hips;Strength;Hips;Band;Adductor muscles;0;Beginner;Focus on squeezing the inner thighs during the movement.;;;2;;;70;isolation;strength, mobility;;beginner_friendly, at_home;50;70;Hip adduction;lifting;https://www.youtube.com/watch?v=hMgyRzIZV2I 
103;Band Horizontal Biceps Curl Upper Arms;Strength;Upper arms;Band;Biceps brachii;0;Beginner;Ensure a full range of motion and control the band tension.;;;1;;;40;isolation;hypertrophy;;beginner_friendly, at_home;45;50;Horizontal curl;lifting;https://www.youtube.com/watch?v=3SP9LxVgdDM
945;Band Horizontal Pallof Press Waist;Strength;Waist;Band;Obliques;Rectus abdominis;Intermediate;Maintain a stable stance and engage the core to resist rotation.;;;0;;;60;isometric;stability;rotation;at_home;55;50;pallof press;lifting;https://www.youtube.com/watch?v=Z2YpB5VULlY
100;Band Kneeling Crunch Waist;Strength;Waist;Band;Rectus abdominis;0;Intermediate;Focus on a controlled crunch to engage the core effectively.;;;1;;;55;isolation;strength, hypertrophy;crunch;at_home, on_travel;50;55;kneeling crunch;lifting;https://www.youtube.com/watch?v=JixA_F39Qrk
176;Band Kneeling One Arm Pulldown Back;Strength;Back;Band;Latissimus dorsi;Biceps brachii;Intermediate;Maintain a stable kneeling position and control the movement.;;;2;;;50;isolation;strength, hypertrophy;vertical_pull;at_home;40;50;band pulldown;lifting;https://www.youtube.com/watch?v=gUnkzZ1jQ7Q
927;Band kneeling one arm pulldown Back;Strength;Back;Band;Latissimus dorsi;Biceps brachii;Intermediate;Maintain a stable kneeling position and control the movement.;;;0;;;50;isolation;strength, hypertrophy;vertical_pull;at_home;40;50;band pulldown;lifting;https://www.youtube.com/watch?v=2UP_PW9dNQs
96;Band Kneeling Preacher Curl Upper Arms;Strength;Upper arms;Band;Biceps brachii;Brachialis;Intermediate;Focus on a controlled curl to engage the biceps effectively.;;;1;;;50;isolation;hypertrophy;;at_home, on_travel;45;50;preacher curl;lifting;https://www.youtube.com/watch?v=bJ4WPEBkcrY
786;Band Lateral Raise Version 2 Shoulders;Strength;Shoulders;Band;Deltoid lateral;Supraspinatus;Intermediate;Keep a slight bend in the elbows and raise arms to shoulder height.;;;0;;;50;isolation;hypertrophy;;beginner_friendly;60;55;Lateral raise;lifting;https://www.youtube.com/watch?v=39rQuZMPMBw
89;Band Low Alternate Chest Press Chest;Strength;Chest;Band;Pectoralis major;Deltoid anterior, Triceps brachii;Intermediate;Ensure a controlled press to engage the chest effectively.;;;1;;;55;compound;strength, hypertrophy;horizontal_press;at_home, on_travel;50;55;low alternate press;lifting;https://www.youtube.com/watch?v=FJJGsqqiC4I
84;Band Low Chest Fly Chest;Strength;Chest;Band;Pectoralis major;Deltoid anterior;Intermediate;Ensure a controlled motion to engage the chest effectively.;;;1;;;55;isolation;hypertrophy;horizontal_press;at_home, on_travel;50;55;low fly;lifting;https://www.youtube.com/watch?v=tO5LYEb8dTw
101;Band Low Chest Fly Chest;Strength;Chest;Band;Pectoralis major;Deltoid anterior;Intermediate;Ensure a controlled motion to engage the chest effectively.;;;1;;;55;isolation;hypertrophy;horizontal_press;at_home, on_travel;50;55;low fly;lifting;https://www.youtube.com/watch?v=6BKuGsoeDWI
86;Band Low Chest Press Chest;Strength;Chest;Band;Pectoralis major;Deltoid anterior, Triceps brachii;Intermediate;Ensure a controlled press to engage the chest effectively.;;;1;;;55;compound;strength, hypertrophy;horizontal_press;at_home, on_travel;50;55;low press;lifting;https://www.youtube.com/watch?v=OHoIs1PDktw
941;Band One Arm Twisting Seated Row Back;Strength;Back;Band;Latissimus dorsi;Obliques, Biceps brachii;Intermediate;Focus on a controlled twisting motion and engage the back muscles.;;;0;;;60;compound;strength, hypertrophy;horizontal_pull;at_home;55;50;twisting row;lifting;https://www.youtube.com/watch?v=uaq94XvilhY
98;Band Overhead Side Bend Waist;Strength;Waist;Band;Obliques;0;Intermediate;Focus on a controlled bend to engage the obliques effectively.;;;1;;;50;isolation;strength, mobility;rotation;at_home, on_travel;45;50;side bend;lifting;https://www.youtube.com/watch?v=8Ek7LOdAOjs
140;Band overhead triceps extension Upper Arms;Strength;Upper arms;Band;Triceps brachii;0;Intermediate;Keep the elbows close to the head and control the band tension.;;;1;;;70;isolation;hypertrophy;;beginner_friendly, at_home;55;60;Overhead extension;lifting;https://www.youtube.com/watch?v=gm8krroQK8w
957;Band overhead triceps extension Upper Arms;Strength;Upper arms;Band;Triceps brachii;0;Intermediate;Keep the elbows close to the head and control the band tension.;;;2;;;70;isolation;hypertrophy;;beginner_friendly, at_home;55;60;Overhead extension;lifting;https://www.youtube.com/watch?v=7UHd77h_qY8
92;Band Overhead Triceps Extension VERSION 2 Upper Arms;Strength;Upper arms;Band;Triceps brachii;0;Intermediate;Maintain a controlled motion to prevent elbow strain.;;;0;;;55;isolation;hypertrophy;;at_home, on_travel;50;55;overhead extension;lifting;https://www.youtube.com/watch?v=Caj1G13e5GE
414;Band pull through Hips;Strength;Hips;Band;Gluteus maximus;Hamstrings;Intermediate;Focus on hinging at the hips and squeezing the glutes at the top.;;;2;;;50;compound;strength, hypertrophy;hinge;at_home;55;60;pull through;lifting;https://www.youtube.com/watch?v=wnF6jio1K84
940;Band pull through Hips;Strength;Hips;Band;Gluteus maximus;Hamstrings;Intermediate;Focus on hinging at the hips and squeezing the glutes at the top.;;;0;;;50;compound;strength, hypertrophy;hinge;at_home;55;60;pull through;lifting;https://www.youtube.com/watch?v=igI3AzsGOxY&pp=0gcJCccJAYcqIYzv
787;Band Pushdown Upper Arms;Strength;Upper arms;Band;Triceps brachii;Anconeus;Intermediate;Keep elbows close to the body and extend fully.;;;1;;;50;isolation;hypertrophy;;beginner_friendly;55;50;Pushdown;lifting;https://www.youtube.com/watch?v=v4TWuC8G_VY
971;Band pushdown Upper Arms;Strength;Upper arms;Band;Triceps brachii;Anconeus;Intermediate;Keep elbows close to the body and extend fully.;;;2;;;50;isolation;hypertrophy;;beginner_friendly;55;50;Pushdown;lifting;https://www.youtube.com/watch?v=okYPDIPycKI
99;Band Reverse Crunch Waist;Strength;Waist;Band;Rectus abdominis;0;Intermediate;Use a controlled motion to engage the core effectively.;;;1;;;55;isolation;strength, hypertrophy;crunch;at_home, on_travel;50;55;reverse crunch;lifting;https://www.youtube.com/watch?v=bW5VZB7fB1k
280;Band Seated Leg Extension Thighs;Strength;Thighs;Band;Quadriceps;0;Beginner;Focus on a controlled movement and avoid using momentum.;;;2;;;50;isolation;strength, hypertrophy;;beginner_friendly, at_home;45;55;leg extension;calisthenics;https://www.youtube.com/watch?v=78i75GPaO38
166;Band seated row Back;Strength;Back;Band;Latissimus dorsi;Rhomboids, Biceps brachii;Beginner;Focus on squeezing the shoulder blades together.;;;1;;;60;compound;strength, hypertrophy;horizontal_pull;at_home;50;60;band row;lifting;https://www.youtube.com/watch?v=VjLW_JCU6Ac
970;Band seated row Back;Strength;Back;Band;Latissimus dorsi;Rhomboids, Biceps brachii;Beginner;Focus on squeezing the shoulder blades together.;;;2;;;60;compound;strength, hypertrophy;horizontal_pull;at_home;50;60;band row;lifting;https://www.youtube.com/watch?v=al2YZ6l1rd4&pp=0gcJCccJAYcqIYzv
